Geography,Category,Brand Name,Company Name (GBO),Data Type,Unit,2016,2017,2018,2019,2020,2021
Thailand,Mobile Phones,phoneOne (Advanced Info Service Plc),Advanced Info Service Plc,Retail Volume,000 units,-,-,-,-,-,-
Philippines,Mobile Phones,myPhone (Solid Group Inc),Solid Group Inc,Retail Volume,000 units,"3,762.9","3,251.9","2,320.1","1,751.2","1,253.9",555.4
Singapore,Mobile Phones,iPhone (Apple Inc),Apple Inc,Retail Volume,000 units,"1,099.4","1,071.0","1,064.1",999.6,"1,021.8","1,080.5"
USA,Mobile Phones,iPhone (Apple Inc),Apple Inc,Retail Volume,000 units,"48,942.3","47,925.9","46,077.1","45,699.6","43,032.7","44,655.0"
Thailand,Mobile Phones,iPhone (Apple Inc),Apple Inc,Retail Volume,000 units,"1,908.0","1,896.1","1,776.1","1,624.7","1,445.0","1,499.5"
China,Mobile Phones,iPhone (Apple Inc),Apple Inc,Retail Volume,000 units,"44,357.0","41,252.0","36,921.0","32,490.0","33,018.0","41,400.0"
India,Mobile Phones,iPhone (Apple Inc),Apple Inc,Retail Volume,000 units,"3,549.0","5,015.7","6,335.5","5,651.9","5,106.5","5,085.2"
Indonesia,Mobile Phones,iPhone (Apple Inc),Apple Inc,Retail Volume,000 units,"1,103.3","1,252.4",828.3,789.9,704.3,647.9
Vietnam,Mobile Phones,iPhone (Apple Inc),Apple Inc,Retail Volume,000 units,"1,770.0","1,760.0","1,643.6","1,534.5","1,372.4","1,424.2"
Malaysia,Mobile Phones,iPhone (Apple Inc),Apple Inc,Retail Volume,000 units,"1,597.9","1,489.7","1,360.0","1,148.7",954.5,960.5
Philippines,Mobile Phones,iPhone (Apple Inc),Apple Inc,Retail Volume,000 units,580.7,485.7,470.7,422.1,412.0,427.8
India,Mobile Phones,iBall (Best IT World (India) Pvt Ltd),Best IT World (India) Pvt Ltd,Retail Volume,000 units,"1,561.6","2,200.3","1,921.6","1,633.3","1,315.4","1,156.2"
USA,Mobile Phones,ZTE (ZTE Corp),ZTE Corp,Retail Volume,000 units,"14,305.1","11,904.6","6,107.5","1,184.1",794.6,483.1
Thailand,Mobile Phones,ZTE (ZTE Corp),ZTE Corp,Retail Volume,000 units,253.1,632.8,-,-,-,-
Malaysia,Mobile Phones,ZTE (ZTE Corp),ZTE Corp,Retail Volume,000 units,151.6,157.2,78.6,31.7,5.8,2.3
India,Mobile Phones,ZTE (ZTE Corp),ZTE Corp,Retail Volume,000 units,"1,124.8",995.0,-,-,-,-
Indonesia,Mobile Phones,ZTE (ZTE Corp),ZTE Corp,Retail Volume,000 units,529.2,343.4,245.6,-,-,-
China,Mobile Phones,ZTE (ZTE Corp),ZTE Corp,Retail Volume,000 units,"15,313.8","4,392.0","1,821.4","1,318.7","1,181.2","1,126.6"
China,Mobile Phones,Xiaomi (Xiaomi Corp),Xiaomi Corp,Retail Volume,000 units,"42,185.0","50,622.0","47,838.0","39,227.0","38,442.0","49,898.0"
Philippines,Mobile Phones,Xiaomi (Xiaomi Corp),Xiaomi Corp,Retail Volume,000 units,-,-,122.9,153.6,229.4,270.2
Vietnam,Mobile Phones,Xiaomi (Xiaomi Corp),Xiaomi Corp,Retail Volume,000 units,-,819.2,910.2,"1,125.0","1,823.7","2,167.7"
India,Mobile Phones,Xiaomi (Xiaomi Corp),Xiaomi Corp,Retail Volume,000 units,"8,328.3","21,162.8","39,152.9","48,506.5","48,749.1","50,325.3"
Indonesia,Mobile Phones,Xiaomi (Xiaomi Corp),Xiaomi Corp,Retail Volume,000 units,519.8,"1,496.9","7,121.7","4,800.0","5,808.0","6,679.2"
Singapore,Mobile Phones,Xiaomi (Xiaomi Corp),Xiaomi Corp,Retail Volume,000 units,106.9,128.4,147.6,162.3,171.0,193.6
Thailand,Mobile Phones,Xiaomi (Xiaomi Corp),Xiaomi Corp,Retail Volume,000 units,-,-,457.8,549.3,870.9,"1,023.5"
Malaysia,Mobile Phones,Xiaomi (Xiaomi Corp),Xiaomi Corp,Retail Volume,000 units,209.0,282.1,465.4,800.6,"1,056.8","1,200.5"
Thailand,Mobile Phones,Wiko (Tinno Mobile Technology Corp),Tinno Mobile Technology Corp,Retail Volume,000 units,-,900.1,"1,112.1",984.2,343.3,174.2
Vietnam,Mobile Phones,Vsmart (Masan Group Corp),Masan Group Corp,Retail Volume,000 units,-,-,-,600.0,"1,950.0","2,137.5"
Malaysia,Mobile Phones,Vivo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,327.8,426.1,769.2,"1,230.8","1,362.5","1,403.3"
Philippines,Mobile Phones,Vivo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,840.2,850.3,"1,193.6","1,560.5","1,657.2","1,706.3"
India,Mobile Phones,Vivo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,"5,654.7","11,511.2","16,250.0","20,457.1","23,094.0","25,772.0"
Vietnam,Mobile Phones,Vivo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,-,-,606.8,795.0,961.1,989.9
Indonesia,Mobile Phones,Vivo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,"1,532.2","1,986.6","2,986.4","5,650.0","7,938.3","8,732.1"
China,Mobile Phones,Vivo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,"65,000.0","70,000.0","73,500.0","65,415.0","57,415.0","75,615.0"
Thailand,Mobile Phones,Vivo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,881.1,"1,762.3","1,850.4","1,932.9","2,269.9","2,338.1"
India,Mobile Phones,Videocon (Videocon Industries Ltd),Videocon Industries Ltd,Retail Volume,000 units,"1,070.2",546.6,-,-,-,-
Philippines,Mobile Phones,Torque (Topstrasse Global Inc),Topstrasse Global Inc,Retail Volume,000 units,783.6,483.5,348.1,327.2,279.1,78.2
USA,Mobile Phones,TCL (TCL Corp),TCL Corp,Retail Volume,000 units,-,-,-,-,"5,354.9","5,874.1"
China,Mobile Phones,TCL (TCL Corp),TCL Corp,Retail Volume,000 units,"1,292.5","1,128.5",237.6,21.9,-,-
