Country,Category,Brand Name,Company Name (GBO),Data Type,Unit,2017,2018,2019,2020,2021,sum
China,Mobile Phones,Newsmy,Beijing Newman Ideal Digital Technology Co Ltd,Retail Volume,000 units,,,787.7,835.0,843.3,
China,Mobile Phones,Meitu,Meitu Inc,Retail Volume,000 units,1575.0,722.0,289.0,,,
China,Mobile Phones,Meizu,Meizu Telecom Equipment Co Ltd,Retail Volume,000 units,18200.0,9200.0,4876.0,2438.0,1780.0,36494.0
China,Mobile Phones,Lenovo,Lenovo Group Ltd,Retail Volume,000 units,2451.6,2731.4,2178.0,1506.8,1008.6,9876.4
China,Mobile Phones,Blackberry,Research in Motion Ltd,Retail Volume,000 units,,,,,,
China,Mobile Phones,Bird,Ningbo Bird Co Ltd,Retail Volume,000 units,,,,,,
China,Mobile Phones,LG,LG Corp,Retail Volume,000 units,1185.6,,,,,
China,Mobile Phones,Honor,Shenzhen Zhixin New Information Technology Co Ltd,Retail Volume,000 units,,,,,25000.0,
China,Mobile Phones,Konka,Konka Group Co Ltd,Retail Volume,000 units,,,,,,
China,Mobile Phones,Oppo,BBK Electronics Corp Ltd,Retail Volume,000 units,82500.0,80025.0,64219.0,57348.0,71283.0,355375.0
China,Mobile Phones,Coolpad,Yulong Computer Communication Technology (Shenzhen) Co Ltd,Retail Volume,000 units,6000.0,720.0,180.0,117.0,82.0,7099.0
China,Mobile Phones,Asus,AsusTek Computer Inc,Retail Volume,000 units,271.0,100.0,126.0,95.0,101.0,693.0
China,Mobile Phones,Samsung,Samsung Corp,Retail Volume,000 units,21927.8,9609.4,3800.1,2339.7,1648.6,39325.59999999999
China,Mobile Phones,Xiaomi,Xiaomi Corp,Retail Volume,000 units,50622.0,47838.0,39227.0,38442.0,49898.0,226027.0
China,Mobile Phones,ZTE,ZTE Corp,Retail Volume,000 units,4392.0,1821.4,1318.7,1181.2,1126.6,9839.9
China,Mobile Phones,Letv,"Leshi Internet Information & Technology Corp, Beijing",Retail Volume,000 units,8000.0,,,,,
China,Mobile Phones,Amio,Amio Electronic Co Ltd,Retail Volume,000 units,,,,,,
China,Mobile Phones,K-Touch,Beijing Tianyu Communication Equipment Co Ltd,Retail Volume,000 units,50.0,47.0,46.0,41.0,39.0,223.0
China,Mobile Phones,Others,Others,Retail Volume,000 units,20802.7,18084.7,16324.4,7616.4,11835.5,74663.70000000001
China,Mobile Phones,Philips,Koninklijke Philips Electronics NV,Retail Volume,000 units,,,,,,
China,Mobile Phones,Gionee,Gionee Communication Equipment Co Ltd,Retail Volume,000 units,15000.0,5009.0,751.0,225.0,147.0,21132.0
China,Mobile Phones,Nubia,Nubia Technology Co Ltd,Retail Volume,000 units,1350.0,1080.0,702.0,391.7,420.0,3943.7
China,Mobile Phones,iPhone,Apple Inc,Retail Volume,000 units,41252.0,36921.0,32490.0,33018.0,41400.0,185081.0
China,Mobile Phones,TCL,TCL Corp,Retail Volume,000 units,1128.5,237.6,21.9,,,
China,Mobile Phones,Motorola,Google Inc,Retail Volume,000 units,,,,,,
China,Mobile Phones,OnePlus,BBK Electronics Corp Ltd,Retail Volume,000 units,,,,1250.0,1650.0,
China,Mobile Phones,Sony,Sony Corp,Retail Volume,000 units,1147.0,195.0,101.0,39.0,32.0,1514.0
China,Mobile Phones,Huawei,Huawei Technologies Co Ltd,Retail Volume,000 units,92089.4,105926.0,136870.4,119847.0,51534.0,506266.8
China,Mobile Phones,HTC,HTC Corp,Retail Volume,000 units,1334.0,734.0,147.0,,,
China,Mobile Phones,Motorola,Lenovo Group Ltd,Retail Volume,000 units,698.0,419.0,230.0,184.0,160.0,1691.0
China,Mobile Phones,Realme,BBK Electronics Corp Ltd,Retail Volume,000 units,,,,1278.0,5175.9,
China,Mobile Phones,Nokia,Nokia Corp,Retail Volume,000 units,772.8,714.6,674.0,527.6,457.7,3146.7
China,Mobile Phones,Vivo,BBK Electronics Corp Ltd,Retail Volume,000 units,70000.0,73500.0,65415.0,57415.0,75615.0,341945.0
India,Mobile Phones,Blackberry,Research in Motion Ltd,Retail Volume,000 units,,,,,,
India,Mobile Phones,Videocon,Videocon Industries Ltd,Retail Volume,000 units,546.6,,,,,
India,Mobile Phones,Maxx,Maxx Moblink Pvt Ltd,Retail Volume,000 units,3363.5,3104.1,2118.0,1179.3,480.3,10245.199999999999
India,Mobile Phones,Motorola,Lenovo Group Ltd,Retail Volume,000 units,42.0,14.8,,,,
India,Mobile Phones,Lenovo,Lenovo Group Ltd,Retail Volume,000 units,10633.8,11285.5,8063.5,5535.1,2076.2,37594.1
India,Mobile Phones,Realme,BBK Electronics Corp Ltd,Retail Volume,000 units,,,12907.6,15862.1,19392.9,
India,Mobile Phones,Micromax,Micromax Informatics Ltd,Retail Volume,000 units,18518.5,11670.7,6807.7,5382.9,4309.5,46689.3
India,Mobile Phones,Motorola,Google Inc,Retail Volume,000 units,,,,,,
India,Mobile Phones,HTC,HTC Corp,Retail Volume,000 units,91.7,32.5,,,,
India,Mobile Phones,Others,Others,Retail Volume,000 units,42541.5,29871.1,21451.5,10651.2,16576.0,121091.3
India,Mobile Phones,Samsung,Samsung Corp,Retail Volume,000 units,54725.5,50879.7,47709.1,48268.0,48686.8,250269.09999999998
India,Mobile Phones,Celkon,Celkon Impex Pvt Ltd,Retail Volume,000 units,3209.3,2985.8,2526.4,2009.5,1760.9,12491.9
India,Mobile Phones,Xiaomi,Xiaomi Corp,Retail Volume,000 units,21162.8,39152.9,48506.5,48749.1,50325.3,207896.59999999998
India,Mobile Phones,Itel,Transsion Holdings,Retail Volume,000 units,14449.1,15605.0,16385.3,21230.8,22136.2,89806.4
India,Mobile Phones,iBall,Best IT World (India) Pvt Ltd,Retail Volume,000 units,2200.3,1921.6,1633.3,1315.4,1156.2,8226.800000000001
India,Mobile Phones,Asus,AsusTek Computer Inc,Retail Volume,000 units,1859.6,2063.7,1245.0,620.4,315.9,6104.5999999999985
India,Mobile Phones,JioPhone,Reliance Jio infocomm Ltd,Retail Volume,000 units,15416.1,47300.1,37435.9,20653.0,9987.5,130792.6
India,Mobile Phones,ZTE,ZTE Corp,Retail Volume,000 units,995.0,,,,,
India,Mobile Phones,Karbonn,Karbonn Mobile India Pvt Ltd,Retail Volume,000 units,10693.0,9364.7,7076.0,4363.5,1470.0,32967.2
India,Mobile Phones,Blackberry,BlackBerry Ltd,Retail Volume,000 units,,,,,,
India,Mobile Phones,iPhone,Apple Inc,Retail Volume,000 units,5015.7,6335.5,5651.9,5106.5,5085.2,27194.8
India,Mobile Phones,Intex,Intex Technologies (India) Ltd,Retail Volume,000 units,20754.1,16979.7,11994.9,5705.4,2820.5,58254.600000000006
India,Mobile Phones,LG,LG Corp,Retail Volume,000 units,,,,,,
India,Mobile Phones,Vivo,BBK Electronics Corp Ltd,Retail Volume,000 units,11511.2,16250.0,20457.1,23094.0,25772.0,97084.3
India,Mobile Phones,Huawei,Huawei Technologies Co Ltd,Retail Volume,000 units,28.0,,,,,
India,Mobile Phones,Gionee,Gionee Communication Equipment Co Ltd,Retail Volume,000 units,,,,,,
India,Mobile Phones,Oppo,BBK Electronics Corp Ltd,Retail Volume,000 units,8512.3,9928.9,11177.0,11288.8,11689.9,52596.9
India,Mobile Phones,Panasonic,Panasonic Corp,Retail Volume,000 units,3483.5,4430.5,4637.4,4420.8,2617.8,19590.0
